tileset=C:/Users/Youssef/Desktop/Tile 1.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/Tile 2.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/Tile 3.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/Tile 4.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/Corner 1.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/Corner 2.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/Corner 3.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/Corner 4.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/Corner 1-3.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/Corner 2-3.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/Corner 1-4.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/Corner 2-4.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/Floor.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/Door.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/TP 1.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/TP 2.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/TP 3.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/TP 4.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/TP 5.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/TP 6.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/TP 7.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/TP 8.png,8,8,0,0
tileset=C:/Users/Youssef/Desktop/Floor.png,8,8,0,0

[layer]
type=Walls
data=
0,0,9,3,3,3,3,3,3,3,3,3,3,3,3,10,9,3,3,3,3,3,3,3,3,3,3,3,3,10,0,0,
0,0,1,13,13,13,13,13,23,13,13,13,13,13,13,2,1,13,13,13,13,13,13,23,13,13,13,13,13,2,0,0,
0,0,1,13,8,4,4,5,13,8,4,4,4,5,13,2,1,13,8,4,4,4,5,13,8,4,4,5,13,2,0,0,
0,0,1,13,2,13,13,1,13,2,13,13,13,1,13,2,1,13,2,13,13,13,1,13,2,13,13,1,13,2,0,0,
0,0,1,13,7,3,3,6,13,7,3,3,3,6,13,7,6,13,7,3,3,3,6,13,7,3,3,6,13,2,0,0,
0,0,1,23,13,13,13,13,23,13,13,23,13,13,23,13,13,23,13,13,23,13,13,23,13,13,13,13,23,2,0,0,
0,0,1,13,8,4,4,5,13,8,5,13,8,4,4,4,4,4,4,5,13,8,5,13,8,4,4,5,13,2,0,0,
0,0,1,13,7,3,3,6,13,2,1,13,7,3,3,10,9,3,3,6,13,2,1,13,7,3,3,6,13,2,0,0,
0,0,1,13,13,13,13,13,23,2,1,13,13,13,13,2,1,13,13,13,13,2,1,23,13,13,13,13,13,2,0,0,
0,0,11,4,4,4,4,5,13,2,11,4,4,5,13,2,1,13,8,4,4,12,1,13,8,4,4,4,4,12,0,0,
0,0,0,0,0,0,0,1,13,2,9,3,3,6,13,7,6,13,7,3,3,10,1,13,2,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,1,13,2,1,13,13,13,23,13,13,23,13,13,13,2,1,13,2,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,1,13,2,1,13,8,4,4,14,14,4,4,5,13,2,1,13,2,0,0,0,0,0,0,0,
19,15,3,3,3,3,3,6,13,7,6,13,2,13,13,13,13,13,13,1,13,7,6,13,7,3,3,3,3,3,20,19,
18,16,13,13,13,13,13,13,23,13,13,23,2,13,13,13,13,13,13,1,23,13,13,23,13,13,13,13,13,13,21,18,
19,17,4,4,4,4,4,5,13,8,5,13,2,13,13,13,13,13,13,1,13,8,5,13,8,4,4,4,4,4,22,19,
