Assets/Sprites/Tile 1.png
Assets/Sprites/Tile 2.png
Assets/Sprites/Tile 3.png
Assets/Sprites/Tile 4.png
Assets/Sprites/Corner 1.png
Assets/Sprites/Corner 2.png
Assets/Sprites/Corner 3.png
Assets/Sprites/Corner 4.png
Assets/Sprites/Corner 1-3.png
Assets/Sprites/Corner 2-3.png
Assets/Sprites/Corner 1-4.png
Assets/Sprites/Corner 2-4.png
Assets/Sprites/Floor.png
Assets/Sprites/Door.png
Assets/Sprites/Point 1.png
Assets/Sprites/Point 2.png
_
9,3,3,3,3,3,3,3,3,3,3,3,3,10,9,3,3,3,3,3,3,3,3,3,3,3,3,10,
1,15,15,15,15,15,15,15,15,15,15,15,15,2,1,15,15,15,15,15,15,15,15,15,15,15,15,2,
1,15,8,4,4,5,15,8,4,4,4,5,15,2,1,15,8,4,4,4,5,15,8,4,4,5,15,2,
1,16,2,13,13,1,15,2,13,13,13,1,15,2,1,15,2,13,13,13,1,15,2,13,13,1,16,2,
1,15,7,3,3,6,15,7,3,3,3,6,15,7,6,15,7,3,3,3,6,15,7,3,3,6,15,2,
1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2,
1,15,8,4,4,5,15,8,5,15,8,4,4,4,4,4,4,5,15,8,5,15,8,4,4,5,15,2,
1,15,7,3,3,6,15,2,1,15,7,3,3,10,9,3,3,6,15,2,1,15,7,3,3,6,15,2,
1,15,15,15,15,15,15,2,1,15,15,15,15,2,1,15,15,15,15,2,1,15,15,15,15,15,15,2,
11,4,4,4,4,5,15,2,11,4,4,5,13,2,1,13,8,4,4,12,1,15,8,4,4,4,4,12,
0,0,0,0,0,1,15,2,9,3,3,6,13,7,6,13,7,3,3,10,1,15,2,0,0,0,0,0,
0,0,0,0,0,1,15,2,1,13,13,13,13,13,13,13,13,13,13,2,1,15,2,0,0,0,0,0,
0,0,0,0,0,1,15,2,1,13,8,4,4,14,14,4,4,5,13,2,1,15,2,0,0,0,0,0,
3,3,3,3,3,6,15,7,6,13,2,13,13,13,13,13,13,1,13,7,6,15,7,3,3,3,3,3,
13,13,13,13,13,13,15,13,13,13,2,13,13,13,13,13,13,1,13,13,13,15,13,13,13,13,13,13,
4,4,4,4,4,5,15,8,5,13,2,13,13,13,13,13,13,1,13,8,5,15,8,4,4,4,4,4,
0,0,0,0,0,1,15,2,1,13,7,3,3,3,3,3,3,6,13,2,1,15,2,0,0,0,0,0,
0,0,0,0,0,1,15,2,1,13,13,13,13,13,13,13,13,13,13,2,1,15,2,0,0,0,0,0,
0,0,0,0,0,1,15,2,1,13,8,4,4,4,4,4,4,5,13,2,1,15,2,0,0,0,0,0,
9,3,3,3,3,6,15,7,6,13,7,3,3,10,9,3,3,6,13,7,6,15,7,3,3,3,3,10,
1,15,15,15,15,15,15,15,15,15,15,15,15,2,1,15,15,15,15,15,15,15,15,15,15,15,15,2,
1,15,8,4,4,5,15,8,4,4,4,5,15,2,1,15,8,4,4,4,5,15,8,4,4,5,15,2,
1,15,7,3,10,1,15,7,3,3,3,6,15,7,6,15,7,3,3,3,6,15,2,9,3,6,15,2,
1,16,15,15,2,1,15,15,15,15,15,15,15,13,13,15,15,15,15,15,15,15,2,1,15,15,16,2,
11,4,5,15,2,1,15,8,5,15,8,4,4,4,4,4,4,5,15,8,5,15,2,1,15,8,4,12,
9,3,6,15,7,6,15,2,1,15,7,3,3,10,9,3,3,6,15,2,1,15,7,6,15,7,3,10,
1,15,15,15,15,15,15,2,1,15,15,15,15,2,1,15,15,15,15,2,1,15,15,15,15,15,15,2,
1,15,8,4,4,4,4,12,11,4,4,5,15,2,1,15,8,4,4,12,11,4,4,4,4,5,15,2,
1,15,7,3,3,3,3,3,3,3,3,6,15,7,6,15,7,3,3,3,3,3,3,3,3,6,15,2,
1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2,
11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12
